US Electronic Short Form Leads
NAUT8002433968201411201028ELED00000100000090260323CUS-19816669               DDCESAWBFX_BFXBFX
NAUT8008731642201411201105ELED00000100000006855203CUS-19816768               DSETSF14ATRC
NAUT8008731642201411201105ELED00000100000041048859CUS-19791649               DSETSF14ATRC
NAUT8008731642201411201106ELED00000100000016101724CUS-19816771               DSETSF14ATRC
NAUT8008731642201411201107ELED00000100000006260860CUS-19816775               DSETSF14ATRC
NAUT8008731642201411201107ELED00000100000021703240CUS-19816777               DSETSF14ATRC
NAUT8008731642201411201109ELED00000100000070737225CUS-19816784               DSETSF14ATRC
NAUT8008731642201411201111ELED00000100000033543813CUS-19816786               DSETSF14ATRC
NAUT8008731642201411201131ELED00000100000017112717CUS-19816837               DSETSF14ATRC
NAUT8008731642201411201131ELED00000100000038863662CUS-19816838               DSETSF14ATRC
NAUT8008731642201411201132ELED00000100000049079702CUS-19816842               DSETSF14ATRC
NAUT8008731642201411201132ELED00000100000054728715CUS-19816844               DSETSF14ATRC
NAUT8008731642201411201133ELED00000100000013684315CUS-19816847               DSETSF14ATRC
NAUT8008731642201411201133ELED00000100000079014806CUS-19816853               DSETSF14ATRC
NAUT8008731642201411201133ELED00000100000080501303CUS-19816850               DSETSF14ATRC
NAUT8008731642201411201151ELED00000100000034240941CUS-19816892               DSETSF14ATRC
NAUT8008731642201411201151ELED00000100000075503903CUS-19816890               DSETSF14ATRC
NAUT8008731642201411201152ELED00000100000045891419CUS-19816896               DSETSF14ATRC
NAUT8008731642201411201218ELED00000100000075098CUS-19816962               DSETSF14ATRC
NAUT8008731642201411201219ELED00000100000032960772CUS-19816965               DSETSF14ATRC
NAUT8008731642201411201359ELED00000100000097003CUS-19817158               DSETSF14ATRC
NAUT8008731642201411201404ELED00000100000099623907CUS-19817166               DSETSF14ATRC
NAUT8008731642201411201510ELED00000100000094806CUS-19817294               DSETSF14ATRC
NAUT8008731642201411201642ELED00000100000033702727CUS-19817465               DSETSF14ATRC
NAUT8008731642201411201700ELED00000100000093706559CUS-19817497               DSETSF14ATRC
NAUT8009521489201411200227ELED00000100000033458904CUS-19816103               dsetsf11fTRC
NAUT8009521489201411200528ELED00000100000031313702CUS-19816136               dsetsf11fTRC
NAUT8009521489201411200847ELED00000100000002723508CUS-19816448               dsetsf11fTRC
NAUT8009521489201411200931ELED00000100000094107650CUS-19816540               dsetsf11fTRC
NAUT8009521489201411200945ELED00000100000021901410CUS-19816577               dsetsf11fTRC
NAUT8009521489201411201029ELED00000100000023139804CUS-19816675               dsetsf11fTRC
NAUT8009521489201411201346ELED00000100000087417505CUS-19817142               dsetsf11fTRC
NAUT8009521489201411202304ELED00000100000032404CUS-19817904               dsetsf11fTRC
NAUT8009521489201411202313ELED00000100000080108720CUS-19817906               dsetsf11fTRC
NAUT8009526649201411201320ELED00000100000053105262CUS-66428               CatalogCTANLS
NAUT8009528621201411200001ELED00000100000094565415CUS-19816072               dsetsf12aTRC
NAUT8009528621201411200002ELED00000100000064088816CUS-19816075               dsetsf12aTRC
NAUT8009528621201411200029ELED00000100000033033765CUS-19816080               dsetsf12aTRC
NAUT8009528621201411200030ELED00000100000015063412CUS-19816083               dsetsf12aTRC
NAUT8009528621201411200030ELED00000100000022310703CUS-19816082               dsetsf12aTRC
NAUT8009528621201411200040ELED00000100000001089413CUS-19816085               dsetsf12aTRC
NAUT8009528621201411200500ELED00000100000061014815CUS-19816131               dsetsf12aTRC
NAUT8009528621201411200512ELED00000100000054161920CUS-19816133               dsetsf12aTRC
NAUT8009528621201411200548ELED00000100000037323423CUS-19816147               dsetsf12aTRC
NAUT8009528621201411200614ELED00000100000011727631CUS-19816167               dsetsf12aTRC
NAUT8009528621201411200723ELED00000100000024201276CUS-19816270               dsetsf12aTRC
NAUT8009528621201411200748ELED00000100000033143305CUS-19816323               dsetsf12aTRC
NAUT8009528621201411200831ELED00000100000061108815CUS-19816421               dsetsf12aTRC
NAUT8009528621201411200900ELED00000100000019135267CUS-19816486               dsetsf12aTRC
NAUT8009528621201411200900ELED00000100000034984772CUS-19816485               dsetsf12aTRC
NAUT8009528621201411200931ELED00000100000093215661CUS-19816539               dsetsf12aTRC
NAUT8009528621201411201001ELED00000100000078626512CUS-19816610               dsetsf12aTRC
NAUT8009528621201411201002ELED00000100000058801530CUS-19816613               dsetsf12aTRC
NAUT8009528621201411201003ELED00000100000034448352CUS-19816616               dsetsf12aTRC
NAUT8009528621201411201003ELED00000100000095457707CUS-19816617               dsetsf12aTRC
NAUT8009528621201411201004ELED00000100000012524845CUS-19816618               dsetsf12aTRC
NAUT8009528621201411201005ELED00000100000024017540CUS-19816624               dsetsf12aTRC
NAUT8009528621201411201005ELED00000100000066839620CUS-19816621               dsetsf12aTRC
NAUT8009528621201411201005ELED00000100000078065858CUS-19816623               dsetsf12aTRC
NAUT8009528621201411201007ELED00000100000027529919CUS-19816627               dsetsf12aTRC
NAUT8009528621201411201007ELED00000100000075067214CUS-19816628               dsetsf12aTRC
NAUT8009528621201411201008ELED00000100000006513203CUS-19816631               dsetsf12aTRC
NAUT8009528621201411201008ELED00000100000044112216CUS-19816630               dsetsf12aTRC
NAUT8009528621201411201008ELED00000100000092105602CUS-19816633               dsetsf12aTRC
NAUT8009528621201411201009ELED00000100000053511608CUS-19816637               dsetsf12aTRC
NAUT8009528621201411201012ELED00000100000020817301CUS-19816647               dsetsf12aTRC
NAUT8009528621201411201014ELED00000100000015401724CUS-19816651               dsetsf12aTRC
NAUT8009528621201411201019ELED00000100000097438CUS-19816657               dsetsf12aTRC
NAUT8009528621201411201029ELED00000100000040515859CUS-19816674               dsetsf12aTRC
NAUT8009528621201411201030ELED00000100000020776410CUS-19816677               dsetsf12aTRC
NAUT8009528621201411201035ELED00000100000016693814CUS-19816698               dsetsf12aTRC
NAUT8009528621201411201048ELED00000100000018353908CUS-19816733               dsetsf12aTRC
NAUT8009528621201411201102ELED00000100000043512419CUS-19816759               dsetsf12aTRC
NAUT8009528621201411201107ELED00000100000080014303CUS-19816773               dsetsf12aTRC
NAUT8009528621201411201109ELED00000100000085032602CUS-19816783               dsetsf12aTRC
NAUT8009528621201411201127ELED00000100000060148773CUS-19816828               dsetsf12aTRC
NAUT8009528621201411201209ELED00000100000019933302CUS-19816940               dsetsf12aTRC
NAUT8009528621201411201212ELED00000100000077356504CUS-19816949               dsetsf12aTRC
NAUT8009528621201411201216ELED00000100000018445570CUS-19816958               dsetsf12aTRC
NAUT8009528621201411201246ELED00000100000076571832CUS-19817026               dsetsf12aTRC
NAUT8009528621201411201303ELED00000100000048122313CUS-19817064               dsetsf12aTRC
NAUT8009528621201411201308ELED00000100000095240209CUS-19817083               dsetsf12aTRC
NAUT8009528621201411201558ELED00000100000037167615CUS-19817369               dsetsf12aTRC
NAUT8009528621201411201613ELED00000100000095648916CUS-19817405               dsetsf12aTRC
NAUT8009528621201411201630ELED00000100000079706432CUS-19817442               dsetsf12aTRC
NAUT8009528621201411201747ELED00000100000011433592CUS-19817566               dsetsf12aTRC
NAUT8009528621201411201747ELED00000100000067220316CUS-19817565               dsetsf12aTRC
NAUT8009528621201411201800ELED00000100000025302304CUS-19817581               dsetsf12aTRC
NAUT8009528621201411201831ELED00000100000043147614CUS-19817644               dsetsf12aTRC
NAUT8009528621201411201902ELED00000100000090804562CUS-19817697               dsetsf12aTRC
NAUT8009528621201411201914ELED00000100000020708301CUS-19817722               dsetsf12aTRC
NAUT8009528621201411201938ELED00000100000097302CUS-19817751               dsetsf12aTRC
NAUT8009528621201411201959ELED00000100000084403801CUS-19817769               SAWSF12ATRC
NAUT8009528621201411202112ELED00000100000090706562CUS-19817828               dsetsf12aTRC
NAUT8009528621201411202113ELED00000100000035630256CUS-19817830               dsetsf12aTRC
NAUT8009528621201411202115ELED00000100000023322757CUS-19817833               dsetsf12aTRC
NAUT8009528621201411202116ELED00000100000036321334CUS-19817835               dsetsf12aTRC
NAUT8009528621201411202116ELED00000100000040229502CUS-19817834               dsetsf12aTRC
NAUT8009528621201411202118ELED00000100000028601828CUS-19817841               dsetsf12aTRC
NAUT8009528621201411202143ELED00000100000089502541CUS-19817868               dsetsf12aTRC
NAUT8009528621201411202358ELED00000100000032514850CUS-19817924               dsetsf12aTRC
